Apple Inc.
AU 2003256494
CA 2,491,741
CN 200810082232.0
KR 850,810
SG 110332
US 7,292,636
US 7,339,991
US 7,548,584
US 7,551,674
Cisco Systems Canada Co.1
US 6,646,578
US 7,050,504
US 7,227,901
US 7,400,681
Cisco Technology, Inc.2
US 7,684,489
Dolby Laboratories Licensing Corporation
AU 2002316666
AU 2003247759
AU 2010212510
AU 2011218757
AU 2011244965
AU 2012201353
AU 2012202740
AU 2012244113
AU 2013200690
CA 2,406,459
CA 2,490,378
CN 03814629.0
CN 101969569
CN 102176752
CN 102176753
DE 60242915
ES 2,239,943
FI 2,239,943
FR 2,239,943
GB 2,239,943
HK 1148152
HK 1148888
HK 1157548
HK 1157549
IN 243845
IT 2,239,943
JP 5,178,389
KR 748,194
MX 252716
MY142934
NL 2,239,943
SE 2,239,943
SG 102730
SG 108377
SG 193680
SK 2,239,943
TR 2,239,943
TW I231,711
US 6,728,317
US 6,816,552
US 7,266,150
US 7,894,524
US 8,050,323
US 8,111,754
US 8,139,638
US 8,139,639
US 8,139,640
US 8,139,641
US 8,144,774
US 8,149,912
US 8,160,142
US 8,213,507
US 8,249,158
US 8,279,929
US 8,290,043
US 8,325,809
US 8,379,720
US 8,401,078
US 8,477,851
US 8,488,674
US 8,488,675
US 8,503,529
US 8,526,496
US 8,542,738
US 8,548,047
US 8,559,513
US 8,576,907
US 8,594,188
US 8,615,041
US Re. 43,360
US Re. 44,235
Electronics and Telecommunications Research Institute
CN 01814313.XFebruary 1, 2014 AVC Attachment 1 Page 3 of 75
CN 200410089708.5
JP 4,988,498
KR 353,851
US 7,388,916
US 7,881,388
US 8,036,275
US 8,036,276
US 8,184,717
US 8,184,718
US 8,184,719
US 8,406,310
Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V.
AT 1,550,219
AT 2,123,052
AT 343,302
AT 352,826
AT-E 640,094
AT-E 640,095
AT-E 640,096
AT-E 640,097
AT-E 640,098
BE 1,467,491
BE 1,487,113
BE 1,550,219
BE 2,037,412
BE 2,068,448
BE 2,123,052
BE 2,290,612
BE 2,296,282
BE 2,326,013
BG 1,467,491
BG 1,550,219
BG 2,123,052
CH 1,467,491
CH 1,487,113
CH 1,550,219
CH 2,037,412
CH 2,068,448
CH 2,123,052
CH 2,290,612
CH 2,296,282
CH 2,326,013
CN 200580035323.3
CN 200680008132.2
CN 200780050109.4
CN 201010193467.4
CN 201010245484.8
CN 201010245510.7
CN 201010245522.xFebruary 1, 2014 AVC Attachment 1 Page 4 of 75
CN 201010245535.7
CN 201010245555.4
CN 201010245566.2
CN 201010245597.8
CN 201110032577.7
CN 201110032594.0
CN 201110032620.X
CN ZL 201110032608.9
CY 2,123,052
CZ 1,467,491
CZ 1,487,113
CZ 1,550,219
CZ 2,037,412
CZ 2,068,448
CZ 2,123,052
CZ 2,290,612
CZ 2,296,282
CZ 2,326,013
DE 50305419
DE 50306371.1
DE 50311129.5
DE 50314931.4
DE 50314932.2
DE 50314933.0
DE 50314934.9
DE 50314935.7
DE 602007010835.7
DK 1,467,491
DK 1,487,113
DK 1,550,219
DK 2,037,412
DK 2,068,448
DK 2,123,052
DK 2,290,612
DK 2,296,282
DK 2,326,013
EE 2,123,052
ES 1,467,491
ES 1,487,113
ES 1,550,219
ES 2,037,412
ES 2,068,448
ES 2,123,052
ES 2,290,612
ES 2,296,282
ES 2,326,013
FI 1,467,491
FI 1,487,113
FI 1,550,219
FI 2,037,412
FI 2,068,448February 1, 2014 AVC Attachment 1 Page 5 of 75
FI 2,123,052
FI 2,290,612
FI 2,296,282
FI 2,326,013
FR 1,467,491
FR 1,487,113
FR 1,550,219
FR 2,037,412
FR 2,068,448
FR 2,123,052
FR 2,290,612
FR 2,296,282
FR 2,326,013
GB 1,467,491
GB 1,487,113
GB 1,550,219
GB 2,037,412
GB 2,068,448
GB 2,123,052
GB 2,290,612
GB 2,296,282
GB 2,326,013
GR 1,487,113
GR 2,123,052
GR 3,060,957
HK 1,070,480
HK 1,070,992
HU 1,467,491
HU 1,487,113
HU 1,550,219
HU 2,123,052
IE 1,467,491
IE 1,487,113
IE 1,550,219
IE 2,037,412
IE 2,068,448
IE 2,123,052
IE 2,290,612
IE 2,296,282
IE 2,326,013
IS 2,123,052
IT 1,467,491
IT 1,487,113
IT 1,550,219
IT 2,037,412
